6287             85         0.5        7          7          0         
6296             62.606     0.5        7          7          0         
25107            89.569     0.5        7          7          0         
25108            86.803     0.5        7          7          0         
25109            87.887     0.5        7          7          0         
25110            89.623     0.5        7          7          0         
25117            88.674     0.5        7          7          0         
25119            85         0.5        7          7          0         
25120            85         0.5        7          7          0         
25121            87.893     0.5        7          7          0         
25122            88.298     0.5        7          7          0         
25123            85.684     0.5        7          7          0         
25124            82.525     0.5        7          7          0         
25125            83.796     0.5        7          7          0         
25126            85         0.5        7          7          0         
25127            85         0.5        7          7          0         
25129            63.045     0.5        7          7          0         
25130            78.61      0.5        7          7          0         
25131            84.831     0.5        7          7          0         
25132            83.876     0.5        7          7          0         
25133            80.581     0.5        7          7          0         
25135            79.666     0.5        7          7          0         
25136            81.691     0.5        7          7          0         
25977            74.494     0.5        7          7          0         
27169            85         0.5        7          7          0         
28233            89.888     0.5        7          7          0         
